Country,Dimension,Factor,Indicator,Indicator_Name,Year,Nivel_de_madurez_texto_EN
Saint Vincent and the Grenadines,Technologies,Critical National Infrastructure (CNI) Protection,Risk management,Critical National Infrastructure (CNI) Protection: Risk management,2015,Startup
Saint Lucia,Technologies,Critical National Infrastructure (CNI) Protection,Risk management,Critical National Infrastructure (CNI) Protection: Risk management,2015,Startup
Suriname,Technologies,Critical National Infrastructure (CNI) Protection,Risk management,Critical National Infrastructure (CNI) Protection: Risk management,2015,Startup
Trinidad and Tobago,Technologies,Critical National Infrastructure (CNI) Protection,Risk management,Critical National Infrastructure (CNI) Protection: Risk management,2015,Formative
Uruguay,Technologies,Critical National Infrastructure (CNI) Protection,Risk management,Critical National Infrastructure (CNI) Protection: Risk management,2015,Formative
Venezuela,Technologies,Critical National Infrastructure (CNI) Protection,Risk management,Critical National Infrastructure (CNI) Protection: Risk management,2015,Formative
Antigua and Barbuda,Technologies,Crisis Management,Planning ,Crisis Management: Planning ,2015,Startup
Argentina,Technologies,Crisis Management,Planning ,Crisis Management: Planning ,2015,Established
Bahamas,Technologies,Crisis Management,Planning ,Crisis Management: Planning ,2015,Startup
Barbados,Technologies,Crisis Management,Planning ,Crisis Management: Planning ,2015,Startup
Belize,Technologies,Crisis Management,Planning ,Crisis Management: Planning ,2015,Startup
Bolivia,Technologies,Crisis Management,Planning ,Crisis Management: Planning ,2015,Startup
El Salvador,Technologies,Crisis Management,Planning ,Crisis Management: Planning ,2015,Startup
Grenada,Technologies,Crisis Management,Planning ,Crisis Management: Planning ,2015,Startup
Guatemala,Technologies,Crisis Management,Planning ,Crisis Management: Planning ,2015,Startup
Guyana,Technologies,Crisis Management,Planning ,Crisis Management: Planning ,2015,Startup
Haiti,Technologies,Crisis Management,Planning ,Crisis Management: Planning ,2015,Startup
Honduras,Technologies,Crisis Management,Planning ,Crisis Management: Planning ,2015,Startup
Jamaica,Technologies,Crisis Management,Planning ,Crisis Management: Planning ,2015,Startup
Mexico,Technologies,Crisis Management,Planning ,Crisis Management: Planning ,2015,Formative
Nicaragua,Technologies,Crisis Management,Planning ,Crisis Management: Planning ,2015,Startup
Panama,Technologies,Crisis Management,Planning ,Crisis Management: Planning ,2015,Formative
Paraguay,Technologies,Crisis Management,Planning ,Crisis Management: Planning ,2015,Startup
Peru,Technologies,Crisis Management,Planning ,Crisis Management: Planning ,2015,Formative
Dominican Republic,Technologies,Crisis Management,Planning ,Crisis Management: Planning ,2015,Startup
Trinidad and Tobago,Technologies,Crisis Management,Planning ,Crisis Management: Planning ,2015,Startup
Uruguay,Technologies,Crisis Management,Planning ,Crisis Management: Planning ,2015,Formative
Venezuela,Technologies,Crisis Management,Planning ,Crisis Management: Planning ,2015,Startup
Antigua and Barbuda,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Startup
Argentina,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Formative
Bahamas,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Startup
Barbados,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Startup
Bolivia,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Startup
Brazil,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Formative
Chile,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Formative
Colombia,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Formative
Costa Rica,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Startup
Dominica,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Startup
Ecuador,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Startup
El Salvador,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Startup
Grenada,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Startup
Guatemala,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Startup
Guyana,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Startup
Haiti,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Startup
Honduras,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Startup
Jamaica,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Startup
Mexico,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Formative
Nicaragua,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Startup
Panama,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Formative
Paraguay,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Startup
Peru,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Startup
Dominican Republic,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Startup
Saint Kitts and Nevis,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Startup
Saint Vincent and the Grenadines,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Startup
Saint Lucia,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Startup
Suriname,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Startup
Trinidad and Tobago,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Formative
Uruguay,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Formative
Venezuela,Technologies,Crisis Management,Evaluation,Crisis Management: Evaluation,2015,Startup
Antigua and Barbuda,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Startup
Argentina,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Formative
Bahamas,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Startup
Barbados,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Startup
Belize,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Startup
Bolivia,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Startup
Brazil,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Formative
Chile,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Formative
Colombia,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Formative
Costa Rica,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Formative
Dominica,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Startup
Ecuador,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Formative
El Salvador,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Startup
Grenada,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Startup
Guatemala,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Startup
Guyana,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Startup
Haiti,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Startup
Honduras,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Startup
Jamaica,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Startup
Mexico,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Formative
Nicaragua,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Startup
Panama,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Established
Paraguay,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Startup
Peru,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Startup
Dominican Republic,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Startup
Saint Kitts and Nevis,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Startup
Saint Vincent and the Grenadines,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Startup
Saint Lucia,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Startup
Suriname,Technologies,Digital Redundancy,Planning ,Digital Redundancy: Planning ,2015,Startup
